img_dir,price,label
53,149.99,"Color:  black / L: 47.2 - W: 18.5 - H: 30, inch / Price: 149.99"
54,88.97,"Color:  black / L: 40 - W: 19 - H: 28, inch / Price: 88.97"
55,122.87,"Color:  black / L: 48 - W: 23.8 - H: 28, inch / Price: 122.87"
56,99.99,"Color:  black / L: 47 - W: 21.6 - H: 29.4, inch / Price: 99.99"
57,229.99,"Color: gray oak / L: 60 - W: 23.6 - H: 30.1, inch / Price: 229.99"
58,135.33,"Color: brown / L: 35.4 - W: 16.1 - H: 29.5, inch / Price: 135.33"
59,135.33,"Color: gray / L: 35.4 - W: 16.1 - H: 29.5, inch / Price: 135.33"
60,88.97,"Color: brown / L: 40 - W: 19 - H: 28, inch / Price: 88.97"
61,124.99,"Color: black / L: 39.4 - W: 19.7 - H: 28.7, inch / Price: 124.99"
62,189.99,"Color: black / L: 47.2 - W: 23.6 - H: 29.9, inch / Price: 189.99"
63,189.99,"Color: dark wood / L: 47.2 - W: 23.6 - H: 29.9, inch / Price: 189.99"
64,99.87,"Color: black / L: 43 - W: 20 - H: 30, inch / Price: 99.87"
65,99.87,"Color: espresso / L: 43 - W: 20 - H: 30, inch / Price: 99.87"
66,99.87,"Color: black / L: 38 - W: 19.75 - H: 29.5, inch / Price: 99.87"
67,99.87,"Color: espresso / L: 38 - W: 19.75 - H: 29.5, inch / Price: 99.87"
68,99.87,"Color: cherry / L: 38 - W: 19.75 - H: 29.5, inch / Price: 99.87"
69,149.99,"Color: black / L: 54 - W: 18.5 - H: 29.5, inch / Price: 149.99"
70,149.99,"Color: brown / L: 54 - W: 18.5 - H: 29.5, inch / Price: 149.99"
71,148.99,"Color: black / L: 47.2 - W: 19.3 - H: 28.3, inch / Price: 148.99"
72,147.0,"Color: walnut / L: 47.2 - W: 19.3 - H: 28.3, inch / Price: 147.00"
73,219.99,"Color: oak / L: 55.1 - W: 23.6 - H: 29.5, inch / Price: 219.99"
74,570.98,"Color: black / L: 55.1 - W: 23.6 - H: 29.5, inch / Price: 570.98"
75,529.29,"Color: brown / L: 55.1 - W: 23.6 - H: 29.5, inch / Price: 529.59"
76,132.99,"Color: black / L: 55 - W: 19.6 - H: 29.3, inch / Price: 132.99"
77,209.99,"Color: black / L: 53.54 - W: 17.72 - H: 30.31, inch / Price: 209.99"
78,209.99,"Color: black / L: 48 - W: 20 - H: 29.5, inch / Price: 209.99"
79,189.99,"Color: black / L: 48 - W: 24 - H: 28.3, inch / Price: 189.99"
80,124.99,"Color: black / L: 39.4 - W: 19.7 - H: 28.7, inch / Price: 124.99"
81,124.99,"Color: brown / L: 39.4 - W: 19.7 - H: 28.7, inch / Price: 124.99"
82,334.03,"Color: grey oak / L: 39.4 - W: 19.7 - H: 28.7, inch / Price: 334.03"
83,79.99,"Color: brown / L: 31.5 - W: 15.74 - H: 28.9, inch / Price: 79.99"
84,79.99,"Color: espresso gray / L: 31.5 - W: 15.74 - H: 28.9, inch / Price: 79.99"
85,169.99,"Color: black / L: 44 - W: 19 - H: 30, inch / Price: 169.99"
86,139.99,"Color: brown / L: 44 - W: 19 - H: 30, inch / Price: 139.99"
87,229.99,"Color: brown / L: 43.5 - W: 19 - H: 31, inch / Price: 229.99"
88,69.96,"Color: brown / L: 31.5 - W: 15.7 - H: 29.1, inch / Price: 69.96"
89,69.96,"Color: black / L: 31.5 - W: 15.7 - H: 29.1, inch / Price: 69.96"
90,99.87,"Color: walnut / L: 43 - W: 20 - H: 30, inch / Price: 99.87"
91,79.99,"Color: black / L: 31.49 - W: 19.68 - H: 29.52, inch / Price: 79.99"
92,79.99,"Color: black / L: 31.49 - W: 19.68 - H: 29.52, inch / Price: 79.99"
93,129.99,"Color: brown / L: 39 - W: 23 - H: 29, inch / Price: 129.99"
94,119.99,"Color: black / L: 39.4 - W: 23.6 - H: 30, inch / Price: 119.99"
95,109.99,"Color: black / L: 39.4 - W: 15.7 - H: 29.5, inch / Price: 109.99"
96,179.99,"Color: black / L: 43.7 - W: 18.9 - H: 29.8, inch / Price: 179.99"
97,89.99,"Color: black / L: 31.5 - W: 15.8 - H: 29.5, inch / Price: 89.99"
98,169.99,"Color: black / L: 63 - W: 23.6 - H: 29.5, inch / Price: 169.99"
99,99.99,"Color: black / L: 40 - W: 19.6 - H: 29.5, inch / Price: 99.99"
100,129.99,"Color: black / L: 60 - W: 19.6 - H: 29.5, inch / Price: 129.99"
101,269.99,"Color: black / L: 63 - W: 32 - H: 30, inch / Price: 269.99"
102,269.99,"Color: grey / L: 63 - W: 32 - H: 30, inch / Price: 269.99"
103,269.99,"Color: oak / L: 63 - W: 32 - H: 30, inch / Price: 269.99"
104,1699.0,"Color: black / L: 70.87 - W: 35.43 - H: 29.53, inch / Price: 1699"
105,1499.0,"Color: white / L: 62.99 - W: 35.43 - H: 29.53, inch / Price: 1499"
106,3499.0,"Color: black / L: 93.7 - W: 42.53 - H: 29.53, inch / Price: 3499"
107,119.99,"Color: black / L: 47.2 - W: 23.6 - H: 29.5, inch / Price: 119.99"
108,109.99,"Color: white / L: 47.2 - W: 23.6 - H: 29.5, inch / Price: 109.99"
109,339.99,"Color: grey / L: 63 - W: 33.5 - H: 29.5, inch / Price: 339.99"
110,299.99,"Color: grey / L: 70.86 - W: 31.5 - H: 29.53, inch / Price: 299.99"
111,109.99,"Color: black / L: 29.5 - W: 29.5 - H: 29.5, inch / Price: 109.99"
112,269.99,"Color: grey / L: 63 - W: 32 - H: 30, inch / Price: 269.99"
113,269.99,"Color: black / L: 63 - W: 32 - H: 30, inch / Price: 269.99"
114,269.99,"Color: black / L: 47.2 - W: 31.5 - H: 29.5, inch / Price: 269.99"
115,129.99,"Color: black / L: 47.2 - W: 27.5 - H: 29.5, inch / Price: 129.99"
116,459.99,"Color: espresso / L: 47.2 - W: 29.5 - H: 29, inch / Price: 459.99"
117,154.99,"Color: black / L: 46.5 - W: 29.1 - H: 28.7, inch / Price: 154.99"
118,219.99,"Color: dark brown / L: 47.24 - W: 27.55 - H: 29.53, inch / Price: 219.99"
119,209.99,"Color: dark brown / L: 31.49 - W: 31.49 - H: 29.52, inch / Price: 209.99"
120,169.99,"Color: espresso / L: 48 - W: 28 - H: 31, inch / Price: 169.99"
121,179.99,"Color: grey / L: 48 - W: 29 - H: 30, inch / Price: 179.99"
122,179.99,"Color: cherry / L: 48 - W: 29 - H: 30, inch / Price: 179.99"
123,249.99,"Color: retro brown / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 249.99"
124,129.99,"Color: black / L: 31.5 - W: 31.5 - H: 29.5, inch / Price: 129.99"
125,264.41,"Color: black / L: 39.4 - W: 23.6 - H: 29.5, inch / Price: 246.41"
126,1115.88,"Color: black / L: 60 - W: 38 - H: 30, inch / Price: 1115.88"
127,289.99,"Color: gloss grey / L: 31.5 - W: 31.5 - H: 30, inch / Price: 289.99"
128,527.99,"Color: brown / L: 60 - W: 36 - H: 30, inch / Price: 527.99"
129,747.67,"Color: chipped white / L: 60 - W: 36 - H: 30, inch / Price: 747.67"
130,747.67,"Color: dark gray / L: 60 - W: 36 - H: 30, inch / Price: 747.67"
131,468.7,"Color: walnut brown / L: 47.2 - W: 29.9 - H: 29.5, inch / Price: 468.7"
132,1099.99,"Color: dark gray / L: 217.81 - W: 91.44 - H: 91.14, cm / Price: 1099.99"
133,689.99,"Color: dark gray / L: 198.45 - W: 106.68 - H: 76.53, cm / Price: 689.99"
134,1779.38,"Color: black / L: 54 - W: 54 - H: 30, inch / Price: 1779.38"
135,249.99,"Color: black / L: 78.7 - W: 27.5 - H: 29.5, inch / Price: 249.99"
136,1872.05,"Color: black / L: 72 - W: 42 - H: 30.5, inch / Price: 1872.05"
137,177.4,"Color: brown / L: 70.87 - W: 31.5 - H: 29.13, inch / Price: 177.4"
138,93.49,"Color: black / L: 29.5 - W: 29.5 - H: 29.5, inch / Price: 93.49"
139,261.99,"Color: black / L: 180 - W: 80 - H: 77, cm / Price: 261.99"
140,291.65,"Color: black / L: 63 - W: 31.5 - H: 31.5, inch / Price: 291.65"
141,155.49,"Color: gray / L: 32 - W: 32 - H: 29, inch / Price: 155.49"
142,372.29,"Color: gray / L: 65 - W: 31.5 - H: 28.3, inch / Price: 372.29"
143,214.99,"Color: gray / L: 49 - W: 29.5 - H: 29, inch / Price: 214.99"
144,150.21,"Color: brown / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 150.21"
145,260.99,"Color: dark coffee / L: 63 - W: 31.5 - H: 30, inch / Price: 260.99"
146,226.7,"Color: black / L: 47.2 - W: 23.6 - H: 29.5, inch / Price: 226.7"
147,214.99,"Color: grey / L: 43 - W: 27.5 - H: 30, inch / Price: 214.99"
148,470.89,"Color: brown / L: 74.8 - W: 31.5 - H: 28.35, inch / Price: 470.89"
149,512.35,"Color: anthracite / L: 74.8 - W: 31.5 - H: 28.35, inch / Price: 512.35"
150,181.99,"Color: black / L: 55 - W: 16 - H: 37.5, inch / Price: 181.99"
151,269.99,"Color:  wood / L: 51.18 - W: 31.49 - H: 28.74, inch / Price: 269.99"
152,119.99,"Color:  white / L: 57.2 - W: 27.6 - H: 29.5, inch / Price: 119.99"
153,159.99,"Color:  wood / L: 46.85 - W: 27.16 - H: 29.13, inch / Price: 159.99"
154,199.99,"Color:  wood / L: 47.2 - W: 23.4 - H: 29, inch / Price: 199.99"
155,309.99,"Color:  white / L: 47.2 - W: 27.5 - H: 30, inch / Price: 309.99"
156,1492.0,"Color:  white / L: 55.12 - W: 31.5 - H: 29.53, inch / Price: 1492"
157,1679.0,"Color:  white / L: 62.99 - W: 31.5 - H: 29.53, inch / Price: 1679"
158,389.99,"Color:  wood / L: 62.2 - W: 30.7 - H: 29.53, inch / Price: 389.99"
159,259.99,"Color:  white / L: 70.86 - W: 31.1 - H: 30.7, inch / Price: 259.99"
160,235.55,"Color:  wood / L: 42.5 - W: 25.6 - H: 28.7, inch / Price: 235.55"
161,339.99,"Color:  white / L: 63 - W: 31.5 - H: 29.53, inch / Price: 339.99"
162,469.98,"Color:  white / L: 75 - W: 35.4 - H: 30, inch / Price: 339.99"
163,274.99,"Color:  white / L: 70.9 - W: 33.5 - H: 29.5, inch / Price: 274.99"
164,449.99,"Color:  white / L: 63 - W: 31.5 - H: 30.5, inch / Price: 449.99"
165,214.99,"Color:  wood / L: 43.25 - W: 27.5 - H: 29.5, inch / Price: 214.99"
166,279.99,"Color:  clear / L: 47.2 - W: 31.5 - H: 29.5, inch / Price: 279.99"
167,115.99,"Color:  wood / L: 31.1 - W: 31.1- H: 29.13, inch / Price: 115.99"
168,209.99,"Color:  white / L: 55.11 - W: 31.49- H: 29.52, inch / Price: 209.99"
169,1236.0,"Color:  white / L: 70.87 - W: 31.5- H: 29.56, inch / Price: 1236"
170,249.99,"Color:  white / L: 62.9 - W: 35.4- H: 28.3, inch / Price: 249.99"
171,359.99,"Color:  white / L: 63 - W: 31.49- H: 29.52, inch / Price: 359.99"
172,279.99,"Color:  white / L: 31.5 - W: 31.5- H: 30, inch / Price: 279.99"
173,2399.0,"Color:  white / L: 62.99 - W: 31.5- H: 29.53, inch / Price: 2399"
174,2199.0,"Color:  white / L: 70.87 - W: 35.43- H: 29.53, inch / Price: 2199"
175,339.97,"Color:  white / L: 70.87 - W: 31.5- H: 29.9, inch / Price: 339.97"
176,269.99,"Color:  grey / L: 63 - W: 32- H: 31, inch / Price: 269.99"
177,124.99,"Color:  oak / L: 47.2 - W: 27.2- H: 29.5, inch / Price: 124.99"
178,124.99,"Color:  oak / L: 47.2 - W: 27.2- H: 29.5, inch / Price: 124.99"
179,110.49,"Color:  wood / L: 55.1 - W: 29.5- H: 29.1, inch / Price: 110.49"
180,152.94,"Color:  wood / L: 46.5 - W: 29.1- H: 28.7, inch / Price: 152.94"
181,131.74,"Color:  wood / L: 63 - W: 27.6- H: 29.9, inch / Price: 131.74"
182,111.66,"Color:  wood / L: 47.2 - W: 27.2- H: 29.5, inch / Price: 111.66"
183,730.82,"Color:  white / L: 62.99 - W: 31.5- H: 29.56, inch / Price: 730.82"
184,190.13,"Color:  white / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 190.13"
185,199.74,"Color:  white / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 190.13"
186,205.07,"Color:  grey / L: 78.7 - W: 31.5 - H: 29.7, inch / Price: 205.07"
187,187.49,"Color:  wood / L: 51 - W: 27.5 - H: 30, inch / Price: 187.49"
188,174.1,"Color:  wood / L: 43.25 - W: 27.5 - H: 29.5, inch / Price: 174.1"
189,130.92,"Color:  wood / L: 23.6 - W: 23.6 - H: 29.9, inch / Price: 130.92"
190,67.99,"Color:  white / L: 29.5 - W: 29.5 - H: 29.5, inch / Price: 67.99"
191,414.49,"Color:  wood / L: 62.2 - W: 30.7 - H: 29.53, inch / Price: 414.49"
192,351.82,"Color:  white / L: 31.5 - W: 31.5 - H: 30, inch / Price: 351.82"
193,200.6,"Color:  wood / L: 78.74 - W: 27.55 - H: 29.52, inch / Price: 200.6"
194,164.31,"Color:  wood / L: 43.3 - W: 23.6 - H: 29.5, inch / Price: 164.31"
195,366.89,"Color:  wood / L: 43.3 - W: 27.6 - H: 29.6, inch / Price: 366.89"
196,539.49,"Color:  wood / L: 55.1 - W: 27.6 - H: 29.5, inch / Price: 539.49"
197,206.49,"Color:  beige / L: 47 - W: 27.5 - H: 29.5, inch / Price: 206.49"
198,156.49,"Color:  white / L: 62.9 - W: 35.4 - H: 28.3, inch / Price: 156.49"
199,201.99,"Color:  grey / L: 31.5 - W: 31.5 - H: 29.9, inch / Price: 201.99"
200,280.01,"Color:  wood / L: 63 - W: 35.4 - H: 29.3, inch / Price: 280.01"
